Street or Road Name,Secondary street name,1: Are you in favour of reducing traffic in Littlemore?,2: How many journeys per week do you make - CAR - BEFORE LTN,2: How many journeys per week do you make - CAR - AFTER LTN,2: How many journeys per week do you make - MOTORBIKE - BEFORE LTN,2: How many journeys per week do you make - MOTORBIKE - AFTER LTN,2: How many journeys per week do you make - VAN - BEFORE LTN,2: How many journeys per week do you make - VAN - AFTER LTN,2: How many journeys per week do you make - BUS - BEFORE LTN,2: How many journeys per week do you make - BUS - AFTER LTN,2: How many journeys per week do you make - FOOT - BEFORE LTN,2: How many journeys per week do you make - FOOT - AFTER LTN,2: How many journeys per week do you make - WHEELCHAIR etc - BEFORE LTN,2: How many journeys per week do you make - WHEELCHAIR etc - AFTER LTN,2: How many journeys per week do you make - BIKE - BEFORE LTN,2: How many journeys per week do you make - BIKE - AFTER LTN,2: How many journeys per week do you make - SCOOTER - BEFORE LTN,2: How many journeys per week do you make - SCOOTER - AFTER LTN,"3: If you drive, the reasons for this are:","4. Overall, the LTN's impact on you has been:",5. Location of traffic filters: Church Hill Road,5. Location of traffic filters: Beauchamp Lane,5. Location of traffic filters: Littlemore Road,5. Location of traffic filters: Mayfair Road,5. Location of traffic filters: Liddell Road,5. Location of traffic filters: Bartholomew Road,6: Do you think the current Cowley LTNs should be,7:  What is the biggest benefit of the LTNs?,8: What is the biggest problem of the LTNs?,9: Have you filled in the county's online LTN consultation?,10. Do you have any other comments or ideas to improve traffic in our area?
Alice Smith Square,,,5,5,,,,,,,,,,,,,,,"Shopping, Caring responsibilities",,No opinion,No opinion,No opinion,No opinion,No opinion,Remove,Removed,None,Longer journeys; traffic displacement,Yes,Make some roads one way (one way to Cowley and one way back)
Alice Smith Square,,No,yes,yes,,,,,,,,,,,,,,,"Work, Shopping, School run",5,Remove,No opinion,Remove,No opinion,No opinion,Remove,Removed,None,"Used to drive to work in 4 mins, now takes 10 mins; school run was 6 mins, now 14 mins",No,Remove LTNs
Alice Smith Square,,,2,0,,,,,,,,,2,0,,,,,,5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Stopping me getting to places easily,No,
Alice Smith Square,,No,3,3,,,,,3,3,3,3,,,,,,,Shopping,5,No opinion,Remove,Remove,No opinion,Remove,Remove,Removed,None,Traffic displacements; more traffic on main roads; longer journeys to Cowley Centre; more pollution,No,
Alice Smith Square,,Yes,,,,,,,5,5,,,,,,,,,,1,Agree,Agree,Agree,No opinion,Agree,Agree,Kept with alterations,Safer traffic; easier to cycle; quieter overall; more pleasant environment,Routine violations of motorcycles through LTNs,No,"- Possible modifications of LTNs to let emergency service vehicles through
- Community named LTNs"
Alice Smith Square,,Yes,,,,,,,2,2,yes,yes,,,,,,,,,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Don't know,,,Yes,
Alice Smith Square,,,,,5,0,,,,,,,4,0,,,,,"Work, Shopping, Health appointments",,Remove,Remove,Remove,No opinion,No opinion,No opinion,Removed,None,Traffic displacement; getting to medical appointments difficult; taxis cost more,Yes,Remove LTNs
Alice Smith Square,,No opinion,7,7,,,,,,,5,5,,,2,2,,,"Work, Shopping, School run",4,,,,,,,Removed,Quieter traffic on streets where they exist,Traffic displacement,No,Better cycle lanes to make it safer for cyclists
Alice Smith Square,,No,yes,yes,,,,,,,yes,yes,,,,,,,"Work, Shopping, Gyms, Health appointments, School run",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,Lower traffic in LTN,Traffic displacement; longer journeys,No,
Alice Smith Square,,No,10,10,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,No opinion,Remove,Change,Removed,None,Increased traffic elsewhere; longer journeys; unsafe streets at night; negative impact on businesses,Yes,
Alice Smith Square,,No opinion,2,1,,,,,,,2,2,,,,,,,"Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Traffic displacement,No,"- Improve off road parking
- More double yellow lines to stop parking opposite other vehicles
- Speed cameras"
Alice Smith Square,,No,,,,,,,,,lots,lots,,,,,,,,,,,,,,,,,,No,
Alice Smith Square,,No,1,1,,,,,,,,,,,,,,,Shopping,,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Don't know,None,More congestion,No,
Alice Smith Square,,No opinion,15,15,,,,,1,1,1,1,,,,,,,"Work, Shopping, Gyms, Health appointments",5,Remove,No opinion,Remove,No opinion,No opinion,Remove,Removed,None,"Cuts off Littlemore and BBL from city, effectively social cleansing; increased congestion",No,"- Change Littlemore Roadabout, lanes make no sense
- Remove LTNs"
Alice Smith Square,,No,20,10,,,,,,,,,,,,,,,"Work, Shopping, School run",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Longer journeys,No,
Alice Smith Square,,No,10,2,,,,,,,,,,,,,,,Shopping,5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Longer journeys,No,Remove LTNs
Alice Smith Square,,Yes,10,5,,,,,,,,,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Ridiculous placing; more congested main roads,No,
Alice Smith Square,,No,14+,14+,,,,,,,,,,,,,,,"Shopping, Health appointments, disabled",5,Remove,Agree,Remove,Remove,No opinion,Remove,Removed,None,Cuts off Littlemore; pushes problems onto other roads; difficulty accessing doctors; congestion caused by double parking,No,
Astrop Lane,,No,16,16,,,,,,,,,,,,,,,School run,,Remove,Remove,Remove,Remove,Remove,Remove,Removed,"Flowers look nice, quieter roads better for cyclists","Forcing traffic onto main roads, causing more traffic",No,Won't be a problem when we're all driving electric cars
Astrop Lane,,Yes,14,14,,,,,,,2-4,6-8,,,,,,,"Work, Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,Only for residents of the roads where the LTN is,"Extended travel time of journey to and from work, moves problem from one place to another; increased commute time by 1-2hours per day",,
Astrop Lane,,Yes,Many,Many,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,More traffic; late for work; struggle to travel,No,Remove LTNs
Astrop Lane,,No,14,14,,,,,,,,,,,,,,,"School run, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,"For residents inside LTNs, stop rat runs","Have to go the long way round, sit in traffic for hours, bad for the environment; school run more difficult",No,"- Local bus doesn't run for long hours, more hours for 3A [bus]"
Astrop Lane,,No,Yes,Yes,,,,,,,,,,,Yes,Yes,,,"Work, Health appointments",,No opinion,Remove,Remove,No opinion,No opinion,Remove,Removed,None,More traffic,No,
Astrop Lane,,Yes,5,5,,,,,,,,,,,1,1,,,"Work, Shopping, Health appointments",4,Agree,Agree,Agree,Agree,Agree,Agree,Kept with alterations,"Reduced traffic, good for people who live inside LTN",Longer journeys for car drivers; busier main roads; tend to not go shopping on Cowley Road now,No,"- Reduce speed limits further in Littlemore
- Enforce speed limits
- Scooters and motorbikes race through Littlemore"
Astrop Lane,,Yes,Yes,Yes,,,,,,,,,,,,,,,"Work, School run",,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Removed,,Impact on traffic around LTN,No,"- Stop building new houses in Littlemore
- Remove LTNs
- No youth clubs for evenings / holidays"
Bampton Close,,,2,2,,,10,10,,,,,,,,,,,Work,5,Remove,No opinion,Remove,Remove,Remove,Remove,Removed,,diverting traffic onto main roads causing traffic queues,No,
Bampton Close,,Yes,14,14,,,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Traffic Congestion,No,"LTN's are not working . Traffic is awful, leading to aggressive driving and people. Some minor journey took me 45 minutes. Worse pollution than before"
Bampton Close,,Yes,multiple,multiple with more miles and time,,,multiple,multiple with more miles and time,multiple,multiple,multiple,multiple,,,multiple,multiple,,,"Work, Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Affected a simple journey and time taken. Moves traffic to other areas and routes where the infrastructure is unable to cope. Unable to get to and from home without doing extra miles!!,No,"Remove the LTNs Completely. Replace them with traffic calming measures!
Need to consider the residents this affects- LTN's Just move traffic to other areas and parts!!"
Bampton Close,,No,9,9,6,6,,,,,,,,,3,3,,,"Work, Shopping, Gyms",5,Remove,Change,Remove,Remove,Remove,Remove,Removed,None,Increases traffic\Congestion\pollution,No,Double Yellow lines in areas that are used for company parking. ie Bampton Close and Sandy Lane West
Bampton Close,,Yes,14,14,,,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments, School run",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Longer journey times and traffic to other roads,No,"yes spend the money on fixing the road, not on gimmicks! These LTNs don't reduce traffic just move it to other roads"
Bampton Close,,No opinion,14,14,,,,,,,,,,,,,,,School run,,Remove,No opinion,No opinion,No opinion,No opinion,Remove,Removed,Reduce the pollution,To many road are close for car,No,
Bampton Close,,No,42,42,,,,,5,5,8,8,,,,,,,"Work, Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,"More congestion. More pollution. Longer Journey Times, More fuel consumption",,Return all roads to pre LTN Status
Bampton Close,,No,7,7,,,,,,,,,,,,,,,"Shopping, Health appointments",4,Remove,Remove,Remove,Remove,Remove,Remove,Removed,none that I can see,They force me to take longer journeys,No,Replace as many traffic lights as possible with roundabouts. This one improvement will substantially improve traffic flow and reduce vehicle emissions
Bampton Close,,Yes,21,21,,,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments",,Change,Remove,Remove,Remove,Remove,Change,Removed,???,"using more petrol takes longer to get anywhere. Small businesses losing money, as people going elsewhere, more traffic jams  ",No,
Bampton Close,,No opinion,6,6,,,,,,,2,2,,,,,,,"Work, Shopping",5,Remove,No opinion,Remove,No opinion,No opinion,Remove,Removed,I can not see any benefits,"Diverting onto already busy roads, Traffic jams",No,Remove unnecessary LTN and put in traffic calming measures. local businesses are losing trade.
Barberi Close,Marlborough Close,Yes,0,0,0,0,0,0,0,0,2,4,0,0,10,12,0,0,,1,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Road safety and improved air quality,Not enough of them - disconnected from wider public transport developments / improvements,Yes,
Barberi Close,Marlborough Close,Yes,6,6,,,,,,,,,,,,,,,"Shopping, Gyms, Visiting friends and family",4,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Kept with alterations,Those living on certain streets will have quieter roads,Longer journeys to Cowley Centre due to Littlemore Road being closed; waiting in traffic to get around; more traffic for some residents,No,
Barberi Close,Marlborough Close,Yes,2-4,0-2,,,,,,,2,6,,,10-12,6,,,"Health appointments, Caring responsibilities",1,Agree,Agree,Agree,Agree,Agree,Change,Kept with alterations,Calmer traffic; less speeding; fewer cars,Movement of traffic onto other routes,Yes,Install Bartholomew Road bus gate camera
Barberi Close,Marlborough Close,Yes,4,4,,,,,,,3,3,,,3,3,,,"Work, Shopping",4,No opinion,Agree,Remove,No opinion,No opinion,Remove,Removed,Reduced traffic on LTN roads,Increased journey times; increased congestion on other roads,Yes,"- Remove LTNs
- Add speed bumps
- Add parking restrictions"
Barberi Close,Marlborough Close,Yes,20,20,,,,,1,1,5,5,,,2,1,,,"Work, Shopping, Gyms, Health appointments, School run, Caring responsibilities",5,Agree,Agree,Remove,No opinion,No opinion,,Removed,None,Increased journey distances and times; bottlenecks created on other roads; increased pollution and congestion; 2 min journeys now take more than 10 mins; Littlemore and Bartholomew Roads are main roads,No,Traffic calming like speed bumps or give way systems
Barberi Close,Marlborough Close,Yes,,,,,,,,,,,,,,,,,"Shopping, Health appointments",,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Kept with alterations,Lower traffic in these areas,"Too many at the same time, blocking two sections of same neighbourhood entirely",No,"- Views of those living inside the LTN should be weighted higher than those outside
- Reduce number of barriers"
Barberi Close,Marlborough Close,Yes,20,7,,,,,,,,,,,,,,,"Work, Shopping, School run",4,Change,Change,Change,Change,Change,Change,Kept with alterations,More safer for children near schools,Slows traffic down during peak hours,No,
Bodley Road,Herschel Crescent,No,10,10,,,,,,,,,,,,,,,"Work, Shopping, School run",5,Agree,Agree,Remove,Remove,Agree,Remove,Kept with alterations,Reducing traffic,Increasing journey times,No,
Bodley Road,Herschel Crescent,No,10,10,,,,,,,,,,,2,2,,,"Work, Shopping, School run",5,Agree,Agree,Remove,Remove,Agree,Remove,Kept with alterations,Reducing traffic,Creating congestion in other areas,No,
Bodley Road,Herschel Crescent,No,14,14,,,,,,,2,2,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,No opinion,Remove,Remove,No opinion,No opinion,Remove,Removed,None,All traffic has to go via one route,Yes,
Bodley Road,Herschel Crescent,No,14,14,,,,,,,10,10,,,,,,,"Work, Shopping, Health appointments",5,No opinion,Remove,Remove,No opinion,No opinion,Remove,Removed,None,More traffic filtered to one route,Yes,
Bodley Road,Herschel Crescent,No opinion,8,8,,,,,2,2,,,,,6,6,,,,5,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Removed,None,Funnels traffic onto already overcrowded road; residents forced to sit in queues at rush hour; Newman Road junction more dangerous,Yes,
Bodley Road,Herschel Crescent,Yes,14-21,14-21,,,,,,,,,,,,,,,"Shopping, Health appointments, School run, Caring responsibilities",4,Remove,No opinion,Remove,Remove,Remove,Remove,Removed,Less noise,More traffic pollution on some roads; takes longer to get to school and appointments,No,Add speed cameras instead to e.g. Littlemore Road
Bodley Road,Herschel Crescent,Yes,10-12,10-12,,,,,,,6,6,,,,,,,Work,4,Agree,Agree,Remove,Agree,Agree,Agree,Kept with alterations,Safer for bikes,Traffic all pushed to Newman Road,,"- Install Bartholomew Road camera
- Improve Newman Road junction, especially right turn"
Bodley Road,Herschel Crescent,Yes,2,2,,,10,10,1,1,5,5,,,1,1,,,Work,4,Agree,Agree,Agree,Agree,Agree,Change,Kept with alterations,Some roads are quieter / safer for cycling,Bus gate on Bartholomew Road not enforced; traffic down there might actually be more dangerous now,Yes,- Install Bartholomew Road bus gate camera
Bodley Road,Herschel Crescent,No,8,8,,,,,,,6,6,,,4,4,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Create traffic problems elsewhere; blocks resident access to Cowley Centre,Yes,
Bodley Road,Herschel Crescent,,10,10,,,,,,,,,,,,,,,Shopping,,,,,,,,Removed,None,More traffic,No,Remove LTNs
Bodley Road,Herschel Crescent,No,10,10,,,,,,,,,,,,,,,"Shopping, Health appointments, School run",5,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Removed,None,More traffic; emergency service access,No,
Bodley Road,Herschel Crescent,No,daily,daily,,,,,,,daily,daily,,,,,,,"Work, Shopping",5,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Removed,None,Traffic build up elsewhere,Yes,Speed restrictions outside schools
Bodley Road,Herschel Crescent,Yes,10,9,,,,,<1,<1,10,10,,,10,12,,,"Work, Shopping, School run",2,Agree,Agree,Agree,Agree,Agree,Change,Kept with alterations,Safer and less pollution,Bus gate not enforced,No,"- Install camera on Bartholomew Road, or auto-rising bollards"
Bodley Road,Herschel Crescent,No opinion,20,20,,,10,10,,,3,3,,,,,,,Work,5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Access to Cowley Centre,No,Remove LTNs
Bodley Road,Herschel Crescent,No opinion,5,0,,,,,,,,,,,5,5,,,"Shopping, Health appointments",5,Remove,No opinion,Remove,Remove,Remove,Remove,Kept with alterations,None,Increased mileage; pollution; extra cost and travelling time,,"- Traffic lights at busy junctions
- Removal of chicane at top of Newman Road as bottleneck"
Bodley Road,Herschel Crescent,No,several,several,,,,,,,,,,,several,several,,,"Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Causing uproar,No,
Bodley Road,Herschel Crescent,,30,30,,,,,,,7-10,7-10,,,,,,,"Work, Shopping, Caring responsibilities",4,Agree,Agree,Remove,Agree,Agree,Change,Kept with alterations,Quieter roads for walking,Traffic displacement; unsafe access for some roads; Newman Road junction now pretty dangerous; increase journey times for NHS community worker,Yes,Make Littlemore Road main road again
Broadfields,,No opinion,5,5,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",4,Remove,Remove,Remove,Remove,Remove,Remove,Removed,,they create more traffic elsewhere,No,
Broadfields,,No opinion,14,14,,,,,,,2,2,,,,,,,"Work, Shopping, Health appointments",5,No opinion,No opinion,No opinion,No opinion,No opinion,Remove,Removed,Probably reduced traffic in LTN,"They do not reduce traffic generally, they divert it to other roads",No,Bartholomew road LTN created extremely high traffic on Sandy Lane West due to all cars were diverted this way to get to bypass road. This is increasing risk of accident on the street with 2 schools on it. It is already busy during school runs time.
Broadfields,,No opinion,8,20,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,making travelling longer/using more petrol,Yes,
Broadfields,,Yes,6,6,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Kept as is,,,No,
Broadfields,,No,12,12,,,,,,,5,5,,,,,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,,large build up of traffic on neighbouring roads/ring road,No,
Broadfields,,No,Daily,Daily,,,,,,,,,,,,,,,"Shopping, Health appointments",,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,"Increased traffic, Increased emission. Congestion",Yes,"Speed humps more effective. More pedestrian crossings. Make sure cyclist stick to cycle lanes and not pavements .Re-time some traffic light sequences, as they can cause tailbacks ( 3 cars goes through and they go back to red. Not good)"
Broadfields,,Yes,10,10,,,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments, School run",5,,,,,,,Removed,None,remove ltn's,Yes,
Broadfields,,,5-10,5-10,,,,,,,,,,,,,,,"Work, Shopping, Gyms",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,More traffic pushed onto other roads,Yes,
Broadfields,,Yes,5,5,,,,,,,,,,,,,,,"Work, Shopping",3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Kept as is,,,No,look into parking during pick up drop off for John Fisher School Sandy Lane West. Residents unable to access their drives or even the close especially Broadfields
Broadfields,,No,less,more,,,same,same,,,,,,,,,,,"Work, School run",3,Agree,Remove,Remove,No opinion,Remove,Remove,Removed,Reducing Traffic,its making it harder to commute ?  times,No,No
Broadfields,,No,24,30,,,,,,,,,,,,,,,"Work, Shopping, Health appointments, School run, Caring responsibilities",4,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,unnecessary traffic on main roads,No,
Broadfields,,,yes,yes,,,,,,,,,,,,,yes,yes,"Work, Shopping, Health appointments, School run",4,Remove,Remove,Remove,Remove,Remove,Remove,Removed,the buses don't have to worry too much about right of way with regular vehicles,they cause more congestion on the main routes surrounding the mentioned areas,No,"it would be more beneficial to offer incentives to lower traffic /parking . Such as discounts /vouchers to residents for local, more minor bus routes to workplaces. As for parking and for traffic, the money spent on LTN's could be put towards less well off residents/or disabled drivers help in making their front gardens usable for parking spaces for them. Other probably smarter solution can probably be reached with collaboration. The above are examples only "
Broadfields,,Yes,10+,3-4,,,,,,,10+,10+,,,,,,,"Work, Shopping, Health appointments, Caring responsibilities",5,No opinion,No opinion,Remove,No opinion,Remove,Remove,Removed,Less noise for people that chose to live on a busy road,"more traffic less short cuts, longer journey",No,"Refer to Q1. Answer would be No, if it means LTN's"
Broadfields,,No,,,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,it messes all the routes up,No,Take down these stupid inconvenient road blocks. it causes more traffic not less. Its pathetic!
Broadfields,,Yes,8,5,,,,,,,,,,,,,,,"Work, Shopping",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,"cogestion/traffic everywhere else e.g hollow way and ring road, cowley centre horsepath driftway",No,the LTN's have made working in the community a nightmare .I can be stuck on hollow way for 40-45 minutes to go and see a patient. It has made the roads UNSAFE for cyclists and I have seen so many collisions because of constant stopping/starting. Also emergency services stuck in traffic. Whose idea was this ? Thanks Beth
Broadfields,,No opinion,several,several,,,,,,,a few,a few,,,,,,,"Shopping, Health appointments",4,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Removed,,longer journey getting to destination,No,"sandy lane west definitely needs speed humps either side of the school with markings and 20mph signs- slow down, cars literally race round the corner, not long before accidents happen"
Broadfields,,Yes,7,4,,,,,,,,,,,,,,,"Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,"longer journeys , more petrol if you can get any. more time more frustration",No,people lead busy lives they haven't got time this inconvenience
Broadfields,,No,,,,,,,,,,,,,5,5,,,"Work, Shopping",,Remove,Remove,Remove,Remove,Remove,Remove,Removed,low traffic,other roads get too busy and difficult to access,No,
Broadfields,,No,,6/7,,,,,,,,2,,,,6/7,,,"Work, Shopping",4,Remove,Remove,Remove,Remove,Remove,Remove,Removed,,"Littlemore is connected with the rest of the city just via A4142& Blackbird Leys. By closing some streets with LTN arrangements, whoever works at the other side of the city ends up just stuck in the traffic forever",No,"Getting other bridges to improve the availability from southern part of oxford(i.e Littlemore) to the northern quarters
Getting less expensive bus tickets+ improve their availability so that less people would have to get the car to commute"
Broadfields,,No opinion,6,2,,,,,,,,,,,5,5,,,"Work, Shopping",2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Don't know,safer for pedestrians and cyclist,trouble for people needing those roads for work/school/caring,No,reduce speed would be better LTNs cause cars to speed on the roads they can take as they are frustrated of the detours
Broadfields,,No opinion,,,,,,,,,many,,,,some,some,,,,3,No opinion,Agree,No opinion,No opinion,No opinion,Change,Kept with alterations,i like it diverts the traffic( and keeps local areas),"some roads should be drive-through, for even emergency",No,"haven't really thought of it ,but was walking my round and was wondering why some roads were blocked in the middle. Liked the peace as a pedestrian, but not sure how it will impact vehicle access"
