pcd7,pcd8,pcds,dointr,doterm,usertype,oa11cd,lsoa11cd,msoa11cd,ladcd,lsoa11nm,msoa11nm,ladnm,ladnmw
"OX4 4PL","OX4  4PL","OX4 4PL","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PN","OX4  4PN","OX4 4PN","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PP","OX4  4PP","OX4 4PP","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PR","OX4  4PR","OX4 4PR","198001","","0","E00145461","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PS","OX4  4PS","OX4 4PS","198001","","0","E00145461","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PT","OX4  4PT","OX4 4PT","198001","","0","E00145461","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PU","OX4  4PU","OX4 4PU","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PW","OX4  4PW","OX4 4PW","198001","","0","E00145461","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PY","OX4  4PY","OX4 4PY","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PZ","OX4  4PZ","OX4 4PZ","198001","201005","1","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4QF","OX4  4QF","OX4 4QF","201411","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4QG","OX4  4QG","OX4 4QG","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4QX","OX4  4QX","OX4 4QX","199612","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4XP","OX4  4XP","OX4 4XP","200106","","0","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4YY","OX4  4YY","OX4 4YY","198001","","0","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4YZ","OX4  4YZ","OX4 4YZ","198106","198412","1","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5HB","OX4  5HB","OX4 5HB","199109","199912","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5HE","OX4  5HE","OX4 5HE","199002","199501","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5HF","OX4  5HF","OX4 5HF","199507","200006","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5HG","OX4  5HG","OX4 5HG","199002","200006","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5HQ","OX4  5HQ","OX4 5HQ","199002","200006","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5JS","OX4  5JS","OX4 5JS","198604","200006","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5JY","OX4  5JY","OX4 5JY","198001","200006","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5JZ","OX4  5JZ","OX4 5JZ","198001","200006","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5LB","OX4  5LB","OX4 5LB","198001","200006","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5XQ","OX4  5XQ","OX4 5XQ","199412","199912","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5XS","OX4  5XS","OX4 5XS","199208","200006","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5ZX","OX4  5ZX","OX4 5ZX","199806","199912","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 5ZZ","OX4  5ZZ","OX4 5ZZ","199007","200006","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6HF","OX4  6HF","OX4 6HF","200006","200102","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6HG","OX4  6HG","OX4 6HG","200006","200203","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6HQ","OX4  6HQ","OX4 6HQ","200006","200903","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6JS","OX4  6JS","OX4 6JS","200006","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6JY","OX4  6JY","OX4 6JY","200006","200901","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6JZ","OX4  6JZ","OX4 6JZ","200006","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6LB","OX4  6LB","OX4 6LB","200006","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6XB","OX4  6XB","OX4 6XB","200006","201107","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6XS","OX4  6XS","OX4 6XS","200006","201508","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6XT","OX4  6XT","OX4 6XT","200006","200901","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6YS","OX4  6YS","OX4 6YS","200012","200107","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 6ZZ","OX4  6ZZ","OX4 6ZZ","200006","201407","1","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4DQ","OX4  4DQ","OX4 4DQ","200401","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4FY","OX4  4FY","OX4 4FY","200407","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4GA","OX4  4GA","OX4 4GA","199201","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4GB","OX4  4GB","OX4 4GB","199201","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4GD","OX4  4GD","OX4 4GD","200205","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4GE","OX4  4GE","OX4 4GE","200801","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4GF","OX4  4GF","OX4 4GF","201009","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4GP","OX4  4GP","OX4 4GP","199906","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4GY","OX4  4GY","OX4 4GY","201105","","0","E00145476","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4HG","OX4  4HG","OX4 4HG","201805","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4JW","OX4  4JW","OX4 4JW","200207","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4JX","OX4  4JX","OX4 4JX","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4JY","OX4  4JY","OX4 4JY","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LB","OX4  4LB","OX4 4LB","198001","199612","1","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LE","OX4  4LE","OX4 4LE","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LF","OX4  4LF","OX4 4LF","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LH","OX4  4LH","OX4 4LH","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LL","OX4  4LL","OX4 4LL","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LQ","OX4  4LQ","OX4 4LQ","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LT","OX4  4LT","OX4 4LT","198001","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LX","OX4  4LX","OX4 4LX","198001","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4LZ","OX4  4LZ","OX4 4LZ","198001","","0","E00145464","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4NU","OX4  4NU","OX4 4NU","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4PB","OX4  4PB","OX4 4PB","198704","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4PD","OX4  4PD","OX4 4PD","199405","199507","1","E00145476","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4PE","OX4  4PE","OX4 4PE","198001","","0","E00145476","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4PF","OX4  4PF","OX4 4PF","198001","","0","E00145476","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4PG","OX4  4PG","OX4 4PG","198001","","0","E00145476","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4PH","OX4  4PH","OX4 4PH","198001","","0","E00145472","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4PQ","OX4  4PQ","OX4 4PQ","198001","","0","E00145476","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4PX","OX4  4PX","OX4 4PX","198001","","0","E00145476","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4QA","OX4  4QA","OX4 4QA","198001","200211","1","E00145473","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4QB","OX4  4QB","OX4 4QB","198001","","0","E00145473","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4QD","OX4  4QD","OX4 4QD","198001","","0","E00145473","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4QE","OX4  4QE","OX4 4QE","198001","","0","E00145473","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4QH","OX4  4QH","OX4 4QH","198001","","0","E00145473","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4QJ","OX4  4QJ","OX4 4QJ","198001","","0","E00145473","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4QL","OX4  4QL","OX4 4QL","198001","","0","E00145476","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4SS","OX4  4SS","OX4 4SS","199906","200912","1","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4SU","OX4  4SU","OX4 4SU","199706","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4SX","OX4  4SX","OX4 4SX","199606","201207","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4TN","OX4  4TN","OX4 4TN","199906","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4TW","OX4  4TW","OX4 4TW","199906","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4XG","OX4  4XG","OX4 4XG","199812","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4XH","OX4  4XH","OX4 4XH","198001","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4XN","OX4  4XN","OX4 4XN","198001","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4XQ","OX4  4XQ","OX4 4XQ","199812","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4XR","OX4  4XR","OX4 4XR","198704","","1","E00145473","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 4XT","OX4  4XT","OX4 4XT","199007","","0","E00145462","E01028553","E02005955","E07000178","Oxford 016B","Oxford 016","Oxford",""
"OX4 3LG","OX4  3LG","OX4 3LG","198001","","0","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SH","OX4  3SH","OX4 3SH","198001","","0","E00145459","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SJ","OX4  3SJ","OX4 3SJ","198001","","0","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SL","OX4  3SL","OX4 3SL","198001","","0","E00145459","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SN","OX4  3SN","OX4 3SN","198001","","0","E00145468","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SP","OX4  3SP","OX4 3SP","198001","","0","E00145459","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SQ","OX4  3SQ","OX4 3SQ","198001","","0","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SR","OX4  3SR","OX4 3SR","198001","","0","E00145459","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SS","OX4  3SS","OX4 3SS","198001","","0","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3ST","OX4  3ST","OX4 3ST","198001","","0","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SU","OX4  3SU","OX4 3SU","198001","","0","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SW","OX4  3SW","OX4 3SW","198001","","0","E00145459","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SX","OX4  3SX","OX4 3SX","198001","","0","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SY","OX4  3SY","OX4 3SY","198803","199405","1","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3SZ","OX4  3SZ","OX4 3SZ","198001","199712","1","E00145460","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3TA","OX4  3TA","OX4 3TA","199007","","0","E00145459","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3TH","OX4  3TH","OX4 3TH","198001","","0","E00145468","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3TP","OX4  3TP","OX4 3TP","198001","","0","E00145469","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3UE","OX4  3UE","OX4 3UE","198106","","0","E00145469","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3UF","OX4  3UF","OX4 3UF","198106","","0","E00145469","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 3UJ","OX4  3UJ","OX4 3UJ","198001","","0","E00145469","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 4LG","OX4  4LG","OX4 4LG","198001","","0","E00145469","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 4QP","OX4  4QP","OX4 4QP","198001","","0","E00145469","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 4QS","OX4  4QS","OX4 4QS","198001","","0","E00145468","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX4 4QT","OX4  4QT","OX4 4QT","198001","","0","E00145468","E01028554","E02005955","E07000178","Oxford 016C","Oxford 016","Oxford",""
"OX3 0BH","OX3  0BH","OX3 0BH","199501","","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 0FA","OX3  0FA","OX3 0FA","201204","201303","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 0UJ","OX3  0UJ","OX3 0UJ","199201","201812","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 0XX","OX3  0XX","OX3 0XX","201105","201402","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 0ZJ","OX3  0ZJ","OX3 0ZJ","200212","201812","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 0ZL","OX3  0ZL","OX3 0ZL","200407","201809","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3AA","OX3  3AA","OX3 3AA","200501","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3AP","OX3  3AP","OX3 3AP","201011","201611","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3AU","OX3  3AU","OX3 3AU","200602","","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3AY","OX3  3AY","OX3 3AY","200607","201008","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3AZ","OX3  3AZ","OX3 3AZ","200909","201008","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BB","OX3  3BB","OX3 3BB","201211","","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BF","OX3  3BF","OX3 3BF","200701","201202","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BH","OX3  3BH","OX3 3BH","200702","201812","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BQ","OX3  3BQ","OX3 3BQ","200709","200912","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BS","OX3  3BS","OX3 3BS","200801","201102","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BU","OX3  3BU","OX3 3BU","200802","201611","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BW","OX3  3BW","OX3 3BW","200802","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BX","OX3  3BX","OX3 3BX","200804","201812","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 3BY","OX3  3BY","OX3 3BY","200805","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 7DS","OX3  7DS","OX3 7DS","200610","201108","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 7YR","OX3  7YR","OX3 7YR","199912","201812","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 7ZP","OX3  7ZP","OX3 7ZP","200809","201504","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 7ZX","OX3  7ZX","OX3 7ZX","200311","201008","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 8FQ","OX3  8FQ","OX3 8FQ","200711","201110","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 8WA","OX3  8WA","OX3 8WA","200112","","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 8XE","OX3  8XE","OX3 8XE","200206","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 8XG","OX3  8XG","OX3 8XG","200206","201304","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 8XN","OX3  8XN","OX3 8XN","200309","","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 8YS","OX3  8YS","OX3 8YS","201004","201304","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 8ZW","OX3  8ZW","OX3 8ZW","200402","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 9FJ","OX3  9FJ","OX3 9FJ","200012","201309","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 9HR","OX3  9HR","OX3 9HR","200703","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 9YD","OX3  9YD","OX3 9YD","199806","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 9YJ","OX3  9YJ","OX3 9YJ","200006","201605","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 9YP","OX3  9YP","OX3 9YP","200006","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX3 9ZN","OX3  9ZN","OX3 9ZN","200212","201202","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX331GU","OX33 1GU","OX33 1GU","200106","201212","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX331WH","OX33 1WH","OX33 1WH","201101","201202","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX331WN","OX33 1WN","OX33 1WN","201110","201210","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX331ZL","OX33 1ZL","OX33 1ZL","201308","201403","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX331ZY","OX33 1ZY","OX33 1ZY","201302","201309","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX4 1BF","OX4  1BF","OX4 1BF","199706","201902","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
"OX4 1DR","OX4  1DR","OX4 1DR","199405","200408","1","E00145471","E01028555","E02005955","E07000178","Oxford 016D","Oxford 016","Oxford",""
